experiment,name,algorithm,objective,steps,seed,left_seats,right_seats,center_seats,left_prop,right_prop,center_prop,left_advantage,right_advantage,center_advantage,pop_std,pop_mean,pop_cv,initial_score,final_score,improvement_pct,steps_to_95
baseline_greedy_greedy_neutral_5000s_20251105_174100_seed42,baseline_greedy,greedy,neutral,5000,42,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,22625.636429384936,1238611.7272727273,0.01826693218802622,1035085.7473045929,22625.636429384936,97.81412926529971,1550
baseline_hillclimb_hill_climbing_neutral_5000s_20251105_174148_seed42,baseline_hillclimb,hill_climbing,neutral,5000,42,3,8,0,4.46376290633663,5.37878009629767,1.1574569973656996,-1.4637629063366298,2.62121990370233,-1.1574569973656996,386837.9638075144,1238611.7272727273,0.31231576069385736,1035085.7473045929,838345.7879285081,19.007117032420158,850
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_132938_seed42,baseline_sa_long,simulated_annealing,neutral,5000,42,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,26546.893264872426,1238611.7272727273,0.021432780491531002,1015586.6965624166,26546.893264872426,97.38605346498443,1100
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_171937_seed42,baseline_sa_long,simulated_annealing,neutral,5000,42,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,26546.893264872426,1238611.7272727273,0.021432780491531002,1015586.6965624166,26546.893264872426,97.38605346498443,1100
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_174039_seed42,baseline_sa_long,simulated_annealing,neutral,5000,42,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,26546.893264872426,1238611.7272727273,0.021432780491531002,1015586.6965624166,26546.893264872426,97.38605346498443,1100
baseline_sa_short_simulated_annealing_neutral_1000s_20251105_174028_seed42,baseline_sa_short,simulated_annealing,neutral,1000,42,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,130357.05821675182,1238611.7272727273,0.10524448892776289,1099074.4128381258,133015.39594285586,87.89750772203205,840
maximize_left_extreme_11d_500s_20251105_130749_seed42,unknown,unknown,unknown,500,42,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,525650.3991370363,1238611.7272727273,0.4243867449038729,110221.98798331805,52590.400352865836,52.28683376603104,450
maximize_left_moderate_11d_500s_20251105_130442_seed42,unknown,unknown,unknown,500,42,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,525650.3991370363,1238611.7272727273,0.4243867449038729,110221.98798331805,52590.400352865836,52.28683376603104,450
maximize_right_extreme_11d_500s_20251105_130616_seed42,unknown,unknown,unknown,500,42,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,525650.3991370363,1238611.7272727273,0.4243867449038729,110221.98798331805,52590.400352865836,52.28683376603104,450
neutral_moderate_11d_500s_20251105_130254_seed42,unknown,unknown,unknown,500,42,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,423910.6920983349,1238611.7272727273,0.34224663206744765,1099074.4128381258,430505.1428253877,60.83020969310897,440
neutral_moderate_11d_500s_20251105_130343_seed42,unknown,unknown,unknown,500,42,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,423910.6920983349,1238611.7272727273,0.34224663206744765,1099074.4128381258,430505.1428253877,60.83020969310897,440
partisan_right_extreme_simulated_annealing_maximize_right_extreme_3000s_20251105_132959_seed42,partisan_right_extreme,simulated_annealing,maximize_right_extreme,3000,42,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,20609.8587886782,1238611.7272727273,0.016639483007365518,104487.04962435289,2060.9858788678202,98.02752026564308,1140
partisan_right_extreme_simulated_annealing_maximize_right_extreme_3000s_20251105_171959_seed42,partisan_right_extreme,simulated_annealing,maximize_right_extreme,3000,42,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,20609.8587886782,1238611.7272727273,0.016639483007365518,104487.04962435289,2060.9858788678202,98.02752026564308,1140
test_greedy_greedy_neutral_100s_20251105_132751_seed42,test_greedy,greedy,neutral,100,42,0,11,0,4.46376290633663,5.37878009629767,1.1574569973656996,-4.46376290633663,5.62121990370233,-1.1574569973656996,939096.0281337377,1238611.7272727273,0.7581843506370743,1122622.3565212341,939096.0281337377,16.348002275333723,90
test_greedy_greedy_neutral_100s_20251105_132913_seed42,test_greedy,greedy,neutral,100,42,0,11,0,4.46376290633663,5.37878009629767,1.1574569973656996,-4.46376290633663,5.62121990370233,-1.1574569973656996,939096.0281337377,1238611.7272727273,0.7581843506370743,1122622.3565212341,939096.0281337377,16.348002275333723,90
test_sa_simulated_annealing_neutral_100s_20251105_132904_seed42,test_sa,simulated_annealing,neutral,100,42,0,11,0,4.46376290633663,5.37878009629767,1.1574569973656996,-4.46376290633663,5.62121990370233,-1.1574569973656996,937946.4035255756,1238611.7272727273,0.7572561948778087,1122622.3565212341,937946.4035255756,16.450407558952385,90
