experiment,name,algorithm,objective,steps,seed,num_history_points,initial_score,final_score,file_size_mb
baseline_greedy_greedy_neutral_5000s_20251105_174100_seed42,baseline_greedy,greedy,neutral,5000,42,71,1035085.7473045929,22625.636429384936,1.1634292602539062
baseline_hillclimb_hill_climbing_neutral_5000s_20251105_174148_seed42,baseline_hillclimb,hill_climbing,neutral,5000,42,57,1035085.7473045929,838345.7879285081,1.1271333694458008
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_132938_seed42,baseline_sa_long,simulated_annealing,neutral,5000,42,24,1015586.6965624166,26546.893264872426,1.0395679473876953
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_171937_seed42,baseline_sa_long,simulated_annealing,neutral,5000,42,24,1015586.6965624166,26546.893264872426,1.0395679473876953
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_174039_seed42,baseline_sa_long,simulated_annealing,neutral,5000,42,24,1015586.6965624166,26546.893264872426,1.0395679473876953
baseline_sa_short_simulated_annealing_neutral_1000s_20251105_174028_seed42,baseline_sa_short,simulated_annealing,neutral,1000,42,79,1099074.4128381258,133015.39594285586,1.1854257583618164
maximize_left_extreme_11d_500s_20251105_130749_seed42,unknown,unknown,unknown,500,42,56,110221.98798331805,52590.400352865836,1.1257123947143555
maximize_left_moderate_11d_500s_20251105_130442_seed42,unknown,unknown,unknown,500,42,56,110221.98798331805,52590.400352865836,1.1257133483886719
maximize_right_extreme_11d_500s_20251105_130616_seed42,unknown,unknown,unknown,500,42,56,110221.98798331805,52590.400352865836,1.1257133483886719
neutral_moderate_11d_500s_20251105_130254_seed42,unknown,unknown,unknown,500,42,60,1099074.4128381258,430505.1428253877,1.1349973678588867
neutral_moderate_11d_500s_20251105_130343_seed42,unknown,unknown,unknown,500,42,60,1099074.4128381258,430505.1428253877,1.1349973678588867
partisan_right_extreme_simulated_annealing_maximize_right_extreme_3000s_20251105_132959_seed42,partisan_right_extreme,simulated_annealing,maximize_right_extreme,3000,42,40,104487.04962435289,2060.9858788678202,1.0828275680541992
partisan_right_extreme_simulated_annealing_maximize_right_extreme_3000s_20251105_171959_seed42,partisan_right_extreme,simulated_annealing,maximize_right_extreme,3000,42,40,104487.04962435289,2060.9858788678202,1.0828275680541992
test_greedy_greedy_neutral_100s_20251105_132751_seed42,test_greedy,greedy,neutral,100,42,45,1122622.3565212341,939096.0281337377,1.0948724746704102
test_greedy_greedy_neutral_100s_20251105_132913_seed42,test_greedy,greedy,neutral,100,42,45,1122622.3565212341,939096.0281337377,1.0948724746704102
test_sa_simulated_annealing_neutral_100s_20251105_132904_seed42,test_sa,simulated_annealing,neutral,100,42,42,1122622.3565212341,937946.4035255756,1.087000846862793
